                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.3318,                 1.3075,                 1.4705,                  1.323,                 1.5326,                 1.3896,                 0.5287,                0.64467,                0.62987,                0.37108,                 1.5467,                 1.3241,                 1.6166,                  1.509,                 1.5481,                  1.505,              0.0004225,              0.0004225,              0.0004225
                     38,                 1.3186,                 1.2939,                 1.4588,                 1.3214,                 1.5046,                  1.384,                0.76283,                0.58414,                0.68247,                0.42912,                 1.4247,                 1.1834,                 1.5383,                 1.3645,                 1.3916,                 1.4971,               0.000406,               0.000406,               0.000406
                     39,                 1.3217,                 1.3073,                 1.4839,                 1.3193,                 1.5421,                 1.4012,                0.65728,                 0.7407,                0.75043,                0.42568,                 1.5104,                 1.2363,                 1.6276,                 1.3867,                 1.3959,                 1.5256,              0.0003895,              0.0003895,              0.0003895
                     40,                 1.3193,                 1.3047,                 1.4719,                 1.3143,                 1.5437,                 1.3934,                 0.8272,                0.57513,                0.67654,                0.41296,                 1.5185,                 1.1574,                 1.6283,                 1.4425,                 1.3235,                 1.5056,               0.000373,               0.000373,               0.000373
                     41,                 1.3135,                 1.2711,                 1.4652,                  1.312,                 1.5009,                  1.393,                0.53741,                0.71182,                0.72505,                0.40906,                 1.4684,                 1.2477,                   1.56,                 1.4458,                 1.4678,                 1.4768,              0.0003565,              0.0003565,              0.0003565
                     42,                  1.303,                 1.2807,                 1.4701,                 1.3082,                 1.5061,                  1.388,                0.71084,                0.64689,                0.70495,                0.41942,                 1.4931,                 1.1566,                 1.5842,                 1.4416,                 1.3402,                 1.5045,                0.00034,                0.00034,                0.00034
                     43,                 1.3294,                 1.2847,                 1.4675,                 1.3243,                 1.4975,                 1.3836,                0.57977,                0.72267,                 0.7635,                0.47871,                 1.3988,                 1.1168,                 1.4992,                  1.347,                 1.2926,                 1.4181,              0.0003235,              0.0003235,              0.0003235
                     44,                 1.3167,                 1.2776,                 1.4639,                 1.3123,                 1.4945,                 1.3858,                0.78198,                 0.5969,                0.71138,                0.40523,                 1.5343,                 1.2146,                  1.691,                 1.4123,                 1.4519,                  1.492,               0.000307,               0.000307,               0.000307
                     45,                   1.31,                 1.2595,                 1.4681,                 1.3075,                 1.4689,                 1.3878,                0.78377,                0.61326,                0.67328,                0.43378,                 1.4402,                 1.1568,                 1.4959,                 1.3487,                 1.3636,                 1.4038,              0.0002905,              0.0002905,              0.0002905
                     46,                 1.3199,                 1.2487,                 1.4668,                  1.318,                 1.4569,                  1.388,                0.57639,                0.56849,                0.66545,                0.38137,                 1.5021,                 1.2599,                 1.5537,                  1.423,                 1.4383,                  1.434,               0.000274,               0.000274,               0.000274
                     47,                  1.283,                 1.2296,                  1.447,                 1.2903,                 1.4369,                 1.3782,                0.83173,                0.57821,                0.69471,                0.40938,                 1.4212,                 1.2295,                 1.4878,                 1.3699,                 1.4342,                 1.4418,              0.0002575,              0.0002575,              0.0002575
                     48,                  1.313,                 1.2523,                 1.4618,                 1.3164,                 1.4455,                 1.3824,                0.66339,                0.71169,                0.70622,                0.38299,                 1.4829,                 1.2212,                 1.5976,                 1.3833,                 1.5017,                 1.4097,               0.000241,               0.000241,               0.000241
                     49,                 1.2864,                 1.2326,                 1.4422,                  1.289,                 1.4279,                 1.3703,                0.57328,                0.67566,                0.67363,                0.37861,                 1.4592,                 1.1683,                 1.5801,                 1.4401,                 1.4149,                 1.5021,              0.0002245,              0.0002245,              0.0002245
                     50,                 1.2831,                 1.2448,                 1.4469,                 1.2777,                 1.4392,                 1.3751,                0.75957,                0.60716,                0.73837,                0.41825,                 1.3994,                 1.1933,                 1.5482,                 1.3274,                 1.4458,                 1.4502,               0.000208,               0.000208,               0.000208
                     51,                 1.3043,                 1.2154,                 1.5023,                 1.3053,                 1.3783,                 1.4551,                0.78334,                 0.5791,                 0.6768,                0.40977,                 1.4509,                 1.1748,                 1.5643,                 1.4049,                 1.2885,                 1.4934,              0.0001915,              0.0001915,              0.0001915
                     52,                 1.2738,                 1.1549,                 1.4764,                 1.2891,                 1.2953,                 1.4372,                 0.5694,                0.63132,                0.69998,                0.40935,                 1.4422,                 1.2421,                 1.5951,                 1.3592,                 1.4097,                 1.4817,               0.000175,               0.000175,               0.000175
                     53,                  1.234,                 1.1202,                 1.4579,                 1.2551,                 1.2568,                 1.4199,                0.53161,                 0.6898,                0.67306,                0.39379,                 1.4629,                  1.332,                 1.5579,                 1.3852,                 1.5107,                  1.419,              0.0001585,              0.0001585,              0.0001585
                     54,                 1.2444,                 1.1099,                 1.4706,                 1.2572,                 1.2405,                  1.425,                0.66853,                0.59436,                0.66968,                0.41444,                 1.4475,                 1.2424,                 1.5561,                 1.3647,                  1.396,                 1.4483,               0.000142,               0.000142,               0.000142
                     55,                 1.2205,                 1.0936,                 1.4621,                 1.2396,                 1.2107,                 1.4192,                0.62623,                0.69663,                  0.692,                0.40039,                 1.4928,                 1.2254,                 1.6496,                 1.4257,                 1.3668,                 1.5031,              0.0001255,              0.0001255,              0.0001255
                     56,                 1.2326,                 1.0842,                 1.4556,                 1.2489,                 1.2172,                 1.4127,                0.85966,                0.57374,                0.70579,                0.41691,                 1.5184,                 1.1394,                 1.6806,                 1.4228,                 1.3657,                 1.4793,               0.000109,               0.000109,               0.000109
                     57,                 1.2214,                 1.0768,                 1.4553,                 1.2424,                 1.2024,                 1.4237,                0.67191,                 0.7349,                0.70066,                0.40961,                 1.5072,                 1.1935,                 1.6714,                  1.404,                 1.4066,                 1.4896,               9.25e-05,               9.25e-05,               9.25e-05
                     58,                 1.2227,                 1.0728,                 1.4458,                 1.2341,                    1.2,                  1.404,                0.49517,                0.72943,                 0.6901,                0.41271,                 1.4552,                  1.186,                 1.6088,                 1.3979,                 1.3895,                 1.4397,                7.6e-05,                7.6e-05,                7.6e-05
                     59,                 1.2006,                 1.0647,                 1.4388,                 1.2131,                 1.1911,                 1.4047,                0.56345,                0.74033,                0.69558,                0.41176,                 1.4737,                 1.2396,                 1.6124,                  1.387,                 1.4315,                 1.4519,               5.95e-05,               5.95e-05,               5.95e-05
                     60,                 1.1837,                 1.0347,                 1.4294,                 1.2113,                 1.1724,                 1.3977,                0.53086,                0.71309,                0.70182,                0.41744,                 1.4775,                 1.1715,                 1.6491,                 1.3892,                 1.3338,                 1.4598,                4.3e-05,                4.3e-05,                4.3e-05
